town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Meriden,51.0,913.0,1.0,46.0,0.0,105.0,182.0,286.0,0.0,38.0,11.0,23.0,0.0,269.0,1.0,0.0,0.0,1.0,5.0,7.0,38.0,0.0,2.0,778.0,3.0,0.0,61.0,28.0,788.0,2798.0
Middlebury,0.0,14.0,0.0,3.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,10.0,54.0
Middlefield,1.0,6.0,0.0,2.0,0.0,13.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,4.0,45.0
Middletown,25.0,514.0,0.0,23.0,0.0,128.0,118.0,154.0,0.0,46.0,5.0,5.0,0.0,118.0,1.0,8.0,1.0,0.0,2.0,0.0,10.0,0.0,5.0,346.0,9.0,23.0,34.0,10.0,352.0,1560.0
Milford,8.0,361.0,2.0,55.0,0.0,41.0,111.0,115.0,0.0,9.0,16.0,3.0,0.0,570.0,2.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,4.0,205.0,0.0,0.0,42.0,14.0,213.0,1569.0
Monroe,1.0,18.0,0.0,11.0,0.0,72.0,18.0,3.0,0.0,1.0,0.0,7.0,0.0,21.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,17.0,178.0
Montville,3.0,254.0,0.0,8.0,0.0,88.0,28.0,21.0,0.0,5.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,32.0,0.0,0.0,8.0,0.0,34.0,471.0
Morris,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0
Naugatuck,9.0,590.0,1.0,16.0,0.0,186.0,195.0,95.0,0.0,35.0,6.0,10.0,0.0,165.0,0.0,5.0,0.0,0.0,0.0,2.0,9.0,0.0,5.0,133.0,0.0,0.0,11.0,5.0,140.0,1469.0
New_Britain,76.0,1122.0,2.0,80.0,0.0,194.0,990.0,591.0,4.0,43.0,27.0,17.0,0.0,259.0,9.0,34.0,6.0,2.0,14.0,9.0,57.0,0.0,8.0,564.0,12.0,0.0,191.0,59.0,589.0,4294.0
