Year,Town_Code,town,2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA/_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,Percent_Affordable,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
2017,37,Derby,5849,274.0,315,88,0,677,11.57,11.0,79.0,1.0,12.0,0.0,56.0,26.0,86.0,0.0,0.0,1.0,7.0,0.0,36.0,0.0,6.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,140.0,0.0,0.0,10.0,10.0,142.0,483.0
2017,38,Durham,2694,36.0,0,15,0,51,1.89,1.0,3.0,0.0,0.0,0.0,15.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,33.0
2017,40,East Granby,2152,72.0,2,36,0,110,5.11,0.0,7.0,0.0,4.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,41.0
2017,41,East Haddam,4508,73.0,4,40,0,117,2.6,3.0,19.0,1.0,2.0,0.0,16.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,75.0
2017,42,East Hampton,5485,70.0,6,77,25,178,3.25,4.0,32.0,0.0,0.0,0.0,24.0,36.0,10.0,0.0,1.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,15.0,134.0
2017,43,East Hartford,21328,1573.0,851,936,0,3360,15.75,28.0,265.0,3.0,30.0,0.0,42.0,26.0,134.0,1.0,3.0,24.0,29.0,0.0,150.0,1.0,7.0,0.0,0.0,0.0,5.0,12.0,0.0,5.0,539.0,64.0,0.0,43.0,19.0,549.0,1402.0
2017,44,East Haven,12533,542.0,139,284,0,965,7.7,8.0,158.0,0.0,21.0,0.0,50.0,161.0,77.0,0.0,3.0,4.0,13.0,0.0,77.0,0.0,9.0,0.0,0.0,0.0,2.0,10.0,0.0,4.0,167.0,3.0,0.0,33.0,10.0,173.0,802.0
2017,47,East Windsor,5045,559.0,38,108,14,719,14.25,3.0,110.0,0.0,4.0,0.0,62.0,6.0,9.0,0.0,10.0,4.0,4.0,0.0,91.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,85.0,2.0,0.0,14.0,4.0,87.0,413.0
2017,39,Eastford,793,0.0,0,16,0,16,2.02,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0
2017,46,Easton,2715,0.0,0,1,16,17,0.63,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,11.0
