town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Easton_PD,4.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,29.0
East_Windsor_PD,5.0,114.0,1.0,9.0,0.0,76.0,55.0,28.0,0.0,23.0,2.0,7.0,0.0,48.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,81.0,1.0,0.0,6.0,2.0,81.0,466.0
Ellington_CSP,1.0,8.0,1.0,4.0,0.0,23.0,10.0,4.0,0.0,1.0,1.0,4.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,16.0,0.0,0.0,3.0,3.0,19.0,102.0
Enfield_PD,15.0,320.0,0.0,74.0,0.0,194.0,538.0,194.0,0.0,0.0,12.0,0.0,0.0,278.0,77.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,25.0,208.0,0.0,0.0,0.0,32.0,234.0,1963.0
Essex_CSP,3.0,7.0,0.0,1.0,0.0,11.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,4.0,1.0,10.0,60.0
Fairfield_PD,13.0,41.0,3.0,35.0,0.0,91.0,55.0,120.0,6.0,18.0,9.0,5.0,0.0,202.0,5.0,1.0,0.0,0.0,5.0,1.0,11.0,0.0,3.0,155.0,0.0,1.0,5.0,10.0,159.0,782.0
Farmington_PD,2.0,154.0,0.0,18.0,0.0,209.0,55.0,153.0,4.0,9.0,2.0,5.0,0.0,351.0,16.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,6.0,33.0,0.0,0.0,6.0,4.0,40.0,1040.0
Franklin_CSP,0.0,2.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Glastonbury_PD,11.0,175.0,1.0,19.0,0.0,89.0,11.0,134.0,2.0,1.0,12.0,18.0,0.0,46.0,5.0,2.0,0.0,0.0,7.0,3.0,7.0,0.0,7.0,146.0,2.0,0.0,3.0,5.0,156.0,695.0
Goshen_CSP,1.0,5.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,8.0,27.0
Granby_PD,3.0,53.0,0.0,5.0,0.0,45.0,8.0,22.0,0.0,3.0,1.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,40.0,0.0,0.0,5.0,1.0,43.0,207.0
Greenwich_PD,4.0,122.0,1.0,18.0,0.0,31.0,47.0,87.0,0.0,9.0,7.0,4.0,0.0,82.0,6.0,4.0,0.0,0.0,15.0,1.0,7.0,0.0,6.0,36.0,0.0,0.0,5.0,7.0,43.0,495.0
